country_iso3,country_name,status,anc4,sab,pop_proj_2022
MDV,Maldives,Achieved,,,524.92899999999997
MEX,Mexico,Achieved,,87.5,127024.13400000001
MHL,Marshall Islands,On Track,,,41.353999999999999
MKD,North Macedonia,Achieved,95.7,100,2098.5410000000002
LBR,Liberia,Acceleration Needed,87.3,84.4,5245.8530000000001
MLT,Malta,Achieved,,99.8,532.375
MDG,Madagascar,Acceleration Needed,59.9,45.8,29260.082999999999
MNE,Montenegro,Achieved,94.2,98.8,627.51199999999994
MNG,Mongolia,Achieved,88.5,99.3,3373.3580000000002
MLI,Mali,Acceleration Needed,43.3,67.3,22248.667000000001
MRT,Mauritania,Acceleration Needed,38.5,70.4,4673.674
MSR,Montserrat,Achieved,,100,4.3890000000000002
MUS,Mauritius,Achieved,,99.7,1299.134
MWI,Malawi,Acceleration Needed,50.5,96.4,20146.242999999999
MYS,Malaysia,Achieved,98.1,99.8,33751.398999999998
MOZ,Mozambique,Acceleration Needed,51,,32518.418000000001
MMR,Myanmar,Acceleration Needed,,,53977.743999999999
NAM,Namibia,Acceleration Needed,,,2549.1819999999998
NIC,Nicaragua,Achieved,,,6898.9939999999997
NIU,Niue,Achieved,,,1.931
NLD,Netherlands (Kingdom of the),Achieved,,,17536.553
NOR,Norway,Achieved,,99.1,5414.3190000000004
NPL,Nepal,On Track,80.5,80.1,30371.951000000001
NRU,Nauru,On Track,,,12.609
NZL,New Zealand,Achieved,,95.8,5163.6840000000002
OMN,Oman,Achieved,73.9,100,4543.2809999999999
NER,Niger,Acceleration Needed,37.3,43.7,25719.857
PAN,Panama,Achieved,,92.5,4379.2820000000002
PER,Peru,Achieved,95.8,94.9,33911.712
PHL,Philippines,Acceleration Needed,83,89.6,114666.32399999999
PLW,Palau,Achieved,,98.7,18.050999999999998
NGA,Nigeria,Acceleration Needed,60.4,50.7,215928.43100000001
POL,Poland,Achieved,,99.6,38236.684000000001
PRK,Democratic People's Republic of Korea,Achieved,,,26022.116999999998
PRT,Portugal,Achieved,,97.3,10282.222
PRY,Paraguay,Achieved,81,91.2,6743.2470000000003
PSE,State of Palestine,Achieved,94.8,99.7,5189.9660000000003
QAT,Qatar,Achieved,,100,2684.33
RKS,Kosovo (UNSCR 1244),Achieved,,,
ROU,Romania,Achieved,70.1,94.7,19262.773000000001
RUS,Russian Federation,Achieved,,99.7,144732.516
PAK,Pakistan,Acceleration Needed,52.4,68,233523.61199999999
SAU,Saudi Arabia,Achieved,79.7,94.8,36136.550999999999
PNG,Papua New Guinea,Acceleration Needed,49,56.4,10048.412
SEN,Senegal,Acceleration Needed,29.2,74.5,17096.667000000001
SGP,Singapore,Achieved,,99.5,5955.9009999999998
SLB,Solomon Islands,Achieved,,,716.21799999999996
RWA,Rwanda,Acceleration Needed,47.2,94.2,13618.383
SLV,El Salvador,Achieved,,98.1,6323.7950000000001
SMR,San Marino,Achieved,,,33.668999999999997
SLE,Sierra Leone,Acceleration Needed,78.8,86.9,8513.5499999999993
SRB,Serbia,Achieved,96.6,99.9,7261.5910000000003
SOM,Somalia,Acceleration Needed,24.4,31.9,17329.991999999998
STP,Sao Tome and Principe,Achieved,,96.8,225.155
SUR,Suriname,Achieved,67.5,100,615.64400000000001
SVK,Slovakia,Achieved,,98.1,5439.4350000000004
SVN,Slovenia,Achieved,,,2119.7890000000002
SWE,Sweden,Achieved,,,10517.669
ZAF,South Africa,Acceleration Needed,,,59646.8
SYC,Seychelles,Achieved,,99.8,106.887
SYR,Syrian Arab Republic,Achieved,,,21589.585999999999
TCA,Turks and Caicos Islands,Achieved,93.2,100,45.529000000000003
SSD,South Sudan,Acceleration Needed,31.1,39.7,10829.531999999999
SDN,Sudan,Acceleration Needed,,,46261.499000000003
THA,Thailand,Achieved,88.3,99.6,71640.251000000004
TJK,Tajikistan,On Track,,,9856.5310000000009
TLS,Timor-Leste,Acceleration Needed,83.1,,1331.6479999999999
TGO,Togo,Acceleration Needed,,,8746.7340000000004
TON,Tonga,Achieved,88.5,98.3,106.399
TTO,Trinidad and Tobago,Achieved,,,1528.932
TUN,Tunisia,Achieved,84.1,99.5,12308.697
TUR,Türkiye,Achieved,89.7,97,85091.633000000002
TUV,Tuvalu,Achieved,60.3,99.5,11.266999999999999
TZA,United Republic of Tanzania,Acceleration Needed,65.1,85,64539.597999999998
TKM,Turkmenistan,Acceleration Needed,97.6,99.7,6387.2
UKR,Ukraine,Achieved,,,43334.203999999998
URY,Uruguay,Achieved,97.3,100,3422.6170000000002
USA,United States,Achieved,,98.6,337499.47899999999
UZB,Uzbekistan,Achieved,89.5,99,34353.048000000003
VCT,Saint Vincent and the Grenadines,Achieved,,99,104.111
VEN,Venezuela (Bolivarian Republic of),Achieved,,98.7,28047.657999999999
VGB,British Virgin Islands,Achieved,,,31.184000000000001
VNM,Viet Nam,Achieved,88.2,96.1,97842.282999999996
VUT,Vanuatu,Achieved,,,322.875
WSM,Samoa,Achieved,69.8,88.9,220.72800000000001
UGA,Uganda,Acceleration Needed,56.7,91,46584.197
YEM,Yemen,Acceleration Needed,,,33322.321000000004
ZMB,Zambia,Acceleration Needed,63.5,80.4,19745.738000000001
ZWE,Zimbabwe,Acceleration Needed,71.5,86,16152.941999999999
